date,open,close,volumeto
2019-10-22 17:00,0.02952,0.02688,90872.94
2019-10-23 17:00,0.02688,0.02706,40986.0
2019-10-24 17:00,0.02706,0.02914,52952.98
2019-10-25 17:00,0.02914,0.03007,56585.98
2019-10-26 17:00,0.03007,0.03427,162589.33
2019-10-27 17:00,0.03819,0.0231,264.52
2019-10-28 17:00,0.0337,0.03446,50776.38
2019-10-29 17:00,0.03446,0.03366,92791.3
2019-10-30 17:00,0.03366,0.03378,36607.77
2019-10-31 17:00,0.03378,0.03331,41783.4
2019-11-01 17:00,0.03331,0.03359,26511.43
2019-11-02 17:00,0.03359,0.03271,27713.54
2019-11-03 16:00,0.03271,0.03282,40966.86
2019-11-04 16:00,0.03282,0.03326,112895.67
2019-11-05 16:00,0.03326,0.03308,37372.32
2019-11-06 16:00,0.03308,0.03233,11565.73
2019-11-07 16:00,0.03233,0.03127,22465.49
2019-11-08 16:00,0.03127,0.0316,7051.49
2019-11-09 16:00,0.0316,0.03203,18450.93
2019-11-10 16:00,0.03203,0.03175,34284.48
2019-11-11 16:00,0.03175,0.03209,16320.65
2019-11-12 16:00,0.03209,0.03181,18411.82
2019-11-13 16:00,0.03181,0.03114,7527.64
2019-11-14 16:00,0.03114,0.0303,15500.21
2019-11-15 16:00,0.0303,0.03077,28564.6
2019-11-16 16:00,0.03077,0.03065,7244.51
2019-11-17 16:00,0.03065,0.02861,27926.59
2019-11-18 16:00,0.02861,0.02812,25125.92
2019-11-19 16:00,0.02812,0.02779,16047.71
2019-11-20 16:00,0.02779,0.02632,35686.81
2019-11-21 16:00,0.02632,0.02313,92224.97
2019-11-22 16:00,0.02313,0.02434,58461.29
2019-11-23 16:00,0.02434,0.02203,64930.93
2019-11-24 16:00,0.02203,0.02237,63052.27
2019-11-25 16:00,0.02237,0.02312,32690.94
2019-11-26 16:00,0.02312,0.02331,43347.29
2019-11-27 16:00,0.02331,0.0238,17062.52
2019-11-28 16:00,0.0238,0.02505,31670.3
2019-11-29 16:00,0.02505,0.02989,135916.96
2019-11-30 16:00,0.02989,0.02622,109057.53
2019-12-01 16:00,0.02622,0.02551,25774.56
2019-12-02 16:00,0.02551,0.02508,20131.51
2019-12-03 16:00,0.02508,0.02453,14947.32
2019-12-04 16:00,0.02453,0.02401,29706.45
2019-12-05 16:00,0.0231,0.02151,216.73
2019-12-06 16:00,0.02445,0.02461,22963.64
2019-12-07 16:00,0.02461,0.02483,24126.41
2019-12-08 16:00,0.02483,0.02472,17169.8
2019-12-09 16:00,0.02472,0.02339,13818.21
2019-12-10 16:00,0.02339,0.02375,12607.06
2019-12-11 16:00,0.02375,0.02306,24303.87
2019-12-12 16:00,0.02306,0.0236,27962.69
2019-12-13 16:00,0.0236,0.02318,27106.62
2019-12-14 16:00,0.02318,0.02341,16162.88
2019-12-15 16:00,0.02341,0.02229,42163.55
2019-12-16 16:00,0.02229,0.02039,32322.39
2019-12-17 16:00,0.023,0.02,275.02
2019-12-18 16:00,0.02113,0.02183,63319.5
2019-12-19 16:00,0.02,0.023,53.36
2019-12-20 16:00,0.02263,0.02142,48412.6
2019-12-21 16:00,0.02142,0.02175,83581.86
2019-12-22 16:00,0.02175,0.02129,37578.31
2019-12-23 16:00,0.02129,0.02178,43897.59
2019-12-24 16:00,0.02178,0.02152,27954.98
2019-12-25 16:00,0.02152,0.02154,29487.53
2019-12-26 16:00,0.02154,0.02257,50397.47
2019-12-27 16:00,0.02257,0.02186,49398.62
2019-12-28 16:00,0.02186,0.0217,49403.86
2019-12-29 16:00,0.0217,0.02256,56219.19
2019-12-30 16:00,0.02256,0.02153,38838.68
2019-12-31 16:00,0.02153,0.02207,20519.07
2020-01-01 16:00,0.02207,0.02175,20270.81
2020-01-02 16:00,0.02175,0.02226,44668.94
2020-01-03 16:00,0.02226,0.02188,21034.61
2020-01-04 16:00,0.02188,0.02198,14003.34
2020-01-05 16:00,0.02198,0.02255,39884.85
2020-01-06 16:00,0.02255,0.02224,41323.82
2020-01-07 16:00,0.02224,0.02163,37792.57
2020-01-08 16:00,0.02163,0.02211,29228.84
2020-01-09 16:00,0.02211,0.02359,76159.15
2020-01-10 16:00,0.02359,0.02249,34711.49
2020-01-11 16:00,0.02249,0.02393,53144.23
2020-01-12 16:00,0.02393,0.02285,40934.37
2020-01-13 16:00,0.02285,0.0245,91253.13
2020-01-14 16:00,0.0245,0.02468,73493.52
2020-01-15 16:00,0.02468,0.02391,67124.16
2020-01-16 16:00,0.02391,0.02521,132342.82
2020-01-17 16:00,0.02521,0.02593,50956.96
2020-01-18 16:00,0.03,0.02075,322.63
2020-01-19 16:00,0.02571,0.02535,45112.41
2020-01-20 16:00,0.02535,0.02557,30155.55
2020-01-21 16:00,0.02557,0.02549,24664.49
